Date,Close,Signal,TN_TP_FP_FN,proba_buy,proba_hold,Equity Value,DCA Value
2024-10-18,5864.67,Hold,TN,0.0026265356435506,0.9973734643564494,8406.386219016927,8403.556570233106
2024-10-21,5853.98,Hold,TN,0.002469796183368,0.997530203816632,8396.53156927853,8388.238739948401
2024-10-22,5851.2,Hold,TN,0.0026893179075459,0.997310682092454,8393.968807232435,8384.255244327122
2024-10-23,5797.42,Hold,TN,0.0044021401801323,0.9955978598198676,8344.391345779579,8307.19323191259
2024-10-24,5809.86,Hold,TN,0.0043020745530589,0.995697925446941,8355.859245007425,8325.018658361767
2024-10-25,5808.12,Hold,TN,0.0051632884329575,0.9948367115670425,8354.255214086486,8322.525391318233
2024-10-28,5823.52,Hold,TN,0.0043020745530589,0.995697925446941,8368.45180959363,8344.592237565608
2024-10-29,5832.92,Hold,TN,0.0043020745530589,0.995697925446941,8377.117263994089,8358.06161124907
2024-10-30,5813.67,Hold,TN,0.0051033672535577,0.9948966327464422,8359.371519610164,8330.478053439852
2024-10-31,5705.45,Buy,FP,0.2783710579794516,0.7216289420205484,8259.608171182716,8175.408306628756
2024-11-01,5728.8,Buy,FP,0.2886525869861781,0.711347413013822,8293.411263103093,8208.866804023315
2024-11-04,5712.69,Buy,FP,0.6868443998066758,0.3131556001933242,8270.089301182865,8185.78259018921
2024-11-05,5782.76,Hold,TN,0.0418233405550495,0.9581766594449505,8371.52753034179,8286.186740614765
2024-11-06,5929.04,Hold,TN,0.0081048443640161,0.9918951556359838,8583.292681781308,8495.793121722942
2024-11-07,5973.1,Hold,TN,0.0432131347241526,0.9567868652758472,8647.077017113721,8558.927228583938
2024-11-08,5995.54,Hold,TN,0.0498144961046653,0.9501855038953346,8679.56272943463,8591.081775972969
2024-11-11,6001.35,Hold,TN,0.0285950890387813,0.9714049109612188,9687.973691492763,9599.406995239024
2024-11-12,5983.99,Hold,TN,0.0153017108524423,0.9846982891475576,9662.842142210633,9571.638958807662
2024-11-13,5985.38,Hold,TN,0.0112066998195432,0.9887933001804567,9664.85440335707,9573.862321171695
2024-11-14,5949.17,Hold,TN,0.005055070417863,0.994944929582137,9612.43427665742,9515.942931818032
2024-11-15,5870.62,Hold,TN,0.0025028224526093,0.9974971775473906,9498.719806835335,9390.298965131198
2024-11-18,5893.62,Hold,TN,0.0014095402460577,0.9985904597539422,9532.016214294381,9427.088414320213
2024-11-19,5916.98,Hold,TN,0.001483027268926,0.998516972731074,9565.833782913653,9464.4536983661
2024-11-20,5917.11,Hold,TN,0.0014767844300942,0.9985232155699058,9566.02197999929,9464.66163873108
2024-11-21,5948.71,Hold,TN,0.0015092528119995,0.9984907471880003,9611.768348508238,9515.207142834251
2024-11-22,5969.34,Hold,TN,0.0009123499597512,0.9990876500402488,9641.633778329111,9548.205679215529
2024-11-25,5987.37,Hold,TN,0.0010118741982844,0.9989881258017156,9667.735266437223,9577.045408297177
2024-11-26,6021.63,Hold,TN,0.0009556559759751,0.9990443440240248,9717.332436852303,9631.84569217612
2024-11-27,5998.74,Hold,TN,0.0010263184242702,0.9989736815757296,9684.195273081106,9595.232192526704
2024-11-29,6032.38,Hold,TN,0.000931192027606,0.999068807972394,9732.894888164683,9649.040760818812
2024-12-02,6047.15,Hold,TN,0.000963588042254,0.999036411957746,9754.276972432946,9672.665985363235
2024-12-03,6049.88,Hold,TN,0.0009210668859548,0.9990789331140452,9758.229111231347,9677.032733027845
2024-12-04,6086.49,Hold,TN,0.0014503110109369,0.998549688989063,9811.228305886807,9735.591938889143
2024-12-05,6075.11,Hold,TN,0.0008091800378186,0.9991908199621814,9794.753822544028,9717.389159246926
2024-12-06,6090.27,Hold,TN,0.0011013525593551,0.9988986474406448,9816.700498069207,9741.638204886296
2024-12-09,6052.85,Hold,TN,0.0011429761162057,0.9988570238837944,9762.528690803232,9681.783370597037
2024-12-10,6034.91,Hold,TN,0.0012567017109829,0.9987432982890172,10736.557492985177,10653.087600229605
2024-12-11,6084.19,Hold,TN,0.0010067136361611,0.9989932863638388,11807.898665140901,11740.078815830053
2024-12-12,6051.25,Hold,TN,0.001260053713575,0.9987399462864248,11760.212418979994,11676.517652192259
2024-12-13,6051.09,Hold,TN,0.0011615403161176,0.9988384596838824,11759.98079179767,11676.208915513995
2024-12-16,6074.08,Hold,TN,0.0008958408429733,0.9991041591570268,11793.262722557818,11720.570516972188
2024-12-17,6050.61,Hold,TN,0.0010645562998833,0.9989354437001168,11759.285910250697,11675.282705479198
2024-12-18,5872.16,Buy,FP,0.1129125015456521,0.8870874984543479,11500.949218465203,11330.944829001824
2024-12-19,5867.08,Buy,FP,0.2109171873265438,0.7890828126734561,11490.999758295555,11321.142439466912
2024-12-20,5930.85,Hold,TN,0.0303839223634339,0.969616077636566,11615.896820307069,11444.193301797886
2024-12-23,5974.07,Hold,TN,0.0154970771605603,0.9845029228394396,11700.54557395514,11527.590797014203
2024-12-24,6040.04,Hold,TN,0.0026294907283085,0.9973705092716916,11829.751457299966,11654.886788671321
2024-12-26,6037.59,Hold,TN,0.0018253014218605,0.9981746985781396,11824.952997178776,11650.159258285388
2024-12-27,5970.84,Buy,FP,0.1191385207510977,0.8808614792489022,11694.219440815777,11521.358175321731
2024-12-30,5906.94,Buy,FP,0.2993880748353986,0.7006119251646015,11569.067766634567,11398.056464439667
2024-12-31,5881.63,Buy,FP,0.1666547180080655,0.8333452819919345,11519.49673574996,11349.218181146633
2025-01-02,5868.55,Buy,FP,0.1695534278461694,0.8304465721538306,11493.878834368268,11323.978957698473
2025-01-03,5942.47,Buy,FP,0.1219237656436884,0.8780762343563115,11638.655231167562,11466.615303056878
2025-01-06,5975.38,Buy,FP,0.0649732859611877,0.9350267140388122,11703.111281203612,11530.118578567499
2025-01-07,5909.03,Buy,FP,0.2118797653506129,0.7881202346493871,11573.161146901215,11402.089337299503
2025-01-08,5918.25,Buy,FP,0.2073969919003271,0.7926030080996729,11591.219025398097,11419.880288384522
2025-01-10,5827.04,Buy,FP,0.3841289948066155,0.6158710051933844,12412.57921002927,12243.881085731111
2025-01-13,5836.22,Buy,FP,0.3423113933608752,0.6576886066391248,13432.13416025238,13263.17026657885
2025-01-14,5842.91,Hold,TN,0.0230603492351988,0.9769396507648012,13447.531279883251,13278.373704606103
